Designator,Mid X,Mid Y,Rotation,Layer
1,139.065,-118.745,0.0,top
1K1,143.78,-121.92,0.0,bottom
2,139.065,-128.905,0.0,top
3,139.065,-138.43,0.0,top
4,139.065,-148.3,0.0,top
BRD1,159.91,-120.65,0.0,top
BT1,155.17,-144.78,0.0,bottom
C100NF1,148.3575,-115.9,0.0,bottom
C100NF2,148.3575,-118.91,0.0,bottom
C100NF3,148.3575,-121.92,0.0,bottom
C100NF4,148.3575,-124.93,0.0,bottom
C10NF1,148.3575,-127.94,0.0,bottom
C10NF2,148.3575,-130.95,0.0,bottom
C10NF3,148.3575,-133.96,0.0,bottom
J1,185.42,-149.135,0.0,bottom
R100K1,187.530476,-134.62,0.0,bottom
R100K2,159.65325,-115.355,90.0,bottom
R2.2K1,156.70325,-115.355,90.0,bottom
R2.2K2,153.75325,-115.355,90.0,bottom
R220,181.64,-134.62,0.0,bottom
R3,143.78,-127.0,0.0,bottom
R4.7K1,143.415,-116.205,0.0,bottom
R4.7K2,165.55325,-115.38,90.0,bottom
R4.7K3,162.60325,-115.38,90.0,bottom
SW5,183.885,-124.42,0.0,top
SW6,187.23,-114.3,0.0,top
U1,184.781,-142.875,180.0,top
U2,153.67,-128.905,180.0,bottom
U3,160.255,-128.905,180.0,bottom
U4,166.84,-128.905,180.0,bottom
